"iso_alpha_3_code","year_mid","parameter","0.1","0.5","0.9","estimate_version"
"AFG",1994,"hiv_related_indirect_percentage",0.00139195325611593,0.000879713917475943,0.000621450673699057,"estimates_12-19-22"
"AFG",1994,"lifetime_risk",0.0663339435075487,0.104958835846618,0.148577759368648,"estimates_12-19-22"
"AFG",1994,"lifetime_risk_1_in",15,10,7,"estimates_12-19-22"
"AFG",1995,"mmr",891.71402352559,1400.84314180005,1954.44633100687,"estimates_12-19-22"
"AFG",1995,"pm",0.365653332404254,0.574425151406328,0.801433862296348,"estimates_12-19-22"
"AFG",1995,"maternal_deaths",7606.32062067328,11949.1919995544,16671.4272034886,"estimates_12-19-22"
"AFG",1995,"mmr_rate",0.00214011365646142,0.00336202354032012,0.00469067119441649,"estimates_12-19-22"
"AFG",1995,"pm_mean",0.580504115368976,0.580504115368976,0.580504115368976,"estimates_12-19-22"
"AFG",1995,"mmr_mean",1415.66783211084,1415.66783211084,1415.66783211084,"estimates_12-19-22"
"AFG",1995,"births",853000,853000,853000,"estimates_12-19-22"
"AFG",1995,"hiv_related_indirect_mmr",1.47584900209215e-07,1.47584900209215e-07,1.47584900209215e-07,"estimates_12-19-22"
"AFG",1995,"hiv_related_indirect_maternal_deaths",0.125889919878461,0.125889919878461,0.125889919878461,"estimates_12-19-22"
"AFG",1995,"hiv_related_indirect_percentage",0.00165506985777464,0.0010535433683144,0.000755123831582441,"estimates_12-19-22"
"AFG",1995,"lifetime_risk",0.0682594607084597,0.107232582278293,0.149610131744584,"estimates_12-19-22"
"AFG",1995,"lifetime_risk_1_in",15,9,7,"estimates_12-19-22"
"AFG",1996,"mmr",878.142098848292,1375.51216110788,1903.07984921021,"estimates_12-19-22"
"AFG",1996,"pm",0.375813973597624,0.588670890139288,0.814451329851133,"estimates_12-19-22"
"AFG",1996,"maternal_deaths",7789.12041678435,12200.7928690269,16880.3182624946,"estimates_12-19-22"
"AFG",1996,"mmr_rate",0.0021075410372359,0.00330122918665891,0.00456739163810451,"estimates_12-19-22"
"AFG",1996,"pm_mean",0.592978731196015,0.592978731196015,0.592978731196015,"estimates_12-19-22"
"AFG",1996,"mmr_mean",1385.57803638879,1385.57803638879,1385.57803638879,"estimates_12-19-22"
"AFG",1996,"births",887000,887000,887000,"estimates_12-19-22"
"AFG",1996,"hiv_related_indirect_mmr",2.01754698456681e-07,2.01754698456681e-07,2.01754698456681e-07,"estimates_12-19-22"
"AFG",1996,"hiv_related_indirect_maternal_deaths",0.178956417531076,0.178956417531076,0.178956417531076,"estimates_12-19-22"
"AFG",1996,"hiv_related_indirect_percentage",0.00229751766509416,0.00146676055771242,0.00106014836182733,"estimates_12-19-22"
"AFG",1996,"lifetime_risk",0.0674638606235154,0.105674652023447,0.146205396451126,"estimates_12-19-22"
"AFG",1996,"lifetime_risk_1_in",15,9,7,"estimates_12-19-22"
"AFG",1997,"mmr",873.630923330557,1365.28542571525,1875.97531832334,"estimates_12-19-22"
"AFG",1997,"pm",0.380999457927345,0.59541505826116,0.818132188638007,"estimates_12-19-22"
"AFG",1997,"maternal_deaths",7984.98663924129,12478.7087910374,17146.4144094753,"estimates_12-19-22"
"AFG",1997,"mmr_rate",0.00209671421599334,0.0032766850217166,0.00450234076397602,"estimates_12-19-22"
"AFG",1997,"pm_mean",0.59818223494217,0.59818223494217,0.59818223494217,"estimates_12-19-22"
"AFG",1997,"mmr_mean",1371.63055578972,1371.63055578972,1371.63055578972,"estimates_12-19-22"
"AFG",1997,"births",914000,914000,914000,"estimates_12-19-22"
"AFG",1997,"hiv_related_indirect_mmr",2.20605496516638e-07,2.20605496516638e-07,2.20605496516638e-07,"estimates_12-19-22"
"AFG",1997,"hiv_related_indirect_maternal_deaths",0.201633423816207,0.201633423816207,0.201633423816207,"estimates_12-19-22"
"AFG",1997,"hiv_related_indirect_percentage",0.00252515668373574,0.00161581961076796,0.00117595095394861,"estimates_12-19-22"
"AFG",1997,"lifetime_risk",0.0672468309753191,0.105091424541301,0.144401247456104,"estimates_12-19-22"
"AFG",1997,"lifetime_risk_1_in",15,10,7,"estimates_12-19-22"
"AFG",1998,"mmr",938.718518749007,1459.28169331783,1988.1749609175,"estimates_12-19-22"
"AFG",1998,"pm",0.392088605920492,0.609520014094094,0.830430776832903,"estimates_12-19-22"
"AFG",1998,"maternal_deaths",8823.95407624067,13717.2479171876,18688.8446326245,"estimates_12-19-22"
"AFG",1998,"mmr_rate",0.00225292444499762,0.00350227606396279,0.004771619906202,"estimates_12-19-22"
"AFG",1998,"pm_mean",0.610679798949163,0.610679798949163,0.610679798949163,"estimates_12-19-22"
"AFG",1998,"mmr_mean",1462.05839099478,1462.05839099478,1462.05839099478,"estimates_12-19-22"
"AFG",1998,"births",940000,940000,940000,"estimates_12-19-22"
"AFG",1998,"hiv_related_indirect_mmr",2.41728865819219e-07,2.41728865819219e-07,2.41728865819219e-07,"estimates_12-19-22"
"AFG",1998,"hiv_related_indirect_maternal_deaths",0.227225133870066,0.227225133870066,0.227225133870066,"estimates_12-19-22"
"AFG",1998,"hiv_related_indirect_percentage",0.00257509424807515,0.00165649214216909,0.0012158329652621,"estimates_12-19-22"
"AFG",1998,"lifetime_risk",0.0719915654562855,0.111914244201397,0.152475768804674,"estimates_12-19-22"
"AFG",1998,"lifetime_risk_1_in",14,9,7,"estimates_12-19-22"
"AFG",1999,"mmr",889.669134515717,1359.21701149071,1840.04298707376,"estimates_12-19-22"
"AFG",1999,"pm",0.410114635083201,0.626564154065913,0.848212587021954,"estimates_12-19-22"
"AFG",1999,"maternal_deaths",8611.99722211214,13157.2206712301,17811.616114874,"estimates_12-19-22"
"AFG",1999,"mmr_rate",0.00213520592283772,0.00326212082757772,0.00441610316897703,"estimates_12-19-22"
"AFG",1999,"pm_mean",0.628297125390356,0.628297125390356,0.628297125390356,"estimates_12-19-22"
"AFG",1999,"mmr_mean",1362.9763776934,1362.9763776934,1362.9763776934,"estimates_12-19-22"
"AFG",1999,"births",968000,968000,968000,"estimates_12-19-22"
"AFG",1999,"hiv_related_indirect_mmr",2.95594018073209e-07,2.95594018073209e-07,2.95594018073209e-07,"estimates_12-19-22"
"AFG",1999,"hiv_related_indirect_maternal_deaths",0.286135009494866,0.286135009494866,0.286135009494866,"estimates_12-19-22"
"AFG",1999,"hiv_related_indirect_percentage",0.00332251627717885,0.0021747374817581,0.00160645169786655,"estimates_12-19-22"
"AFG",1999,"lifetime_risk",0.0688503083603964,0.105187992635906,0.142398473928597,"estimates_12-19-22"
"AFG",1999,"lifetime_risk_1_in",15,10,7,"estimates_12-19-22"
"AFG",2000,"mmr",887.730669291168,1346.14410059147,1800.43965402707,"estimates_12-19-22"
"AFG",2000,"pm",0.417578042228206,0.633210316515116,0.846905589596186,"estimates_12-19-22"
"AFG",2000,"maternal_deaths",8841.79746614003,13407.5952418911,17932.3789541097,"estimates_12-19-22"
"AFG",2000,"mmr_rate",0.0021305536062988,0.00323074584141953,0.00432105516966498,"estimates_12-19-22"
"AFG",2000,"pm_mean",0.632564649446503,0.632564649446503,0.632564649446503,"estimates_12-19-22"
"AFG",2000,"mmr_mean",1344.77147463657,1344.77147463657,1344.77147463657,"estimates_12-19-22"
"AFG",2000,"births",996000,996000,996000,"estimates_12-19-22"
"AFG",2000,"hiv_related_indirect_mmr",3.40212489434728e-07,3.40212489434728e-07,3.40212489434728e-07,"estimates_12-19-22"
"AFG",2000,"hiv_related_indirect_maternal_deaths",0.338851639476989,0.338851639476989,0.338851639476989,"estimates_12-19-22"
"AFG",2000,"hiv_related_indirect_percentage",0.00383238409129629,0.00252731107527972,0.00188960784480485,"estimates_12-19-22"
"AFG",2000,"lifetime_risk",0.0688688940841509,0.104431961959435,0.139675570674045,"estimates_12-19-22"
"AFG",2000,"lifetime_risk_1_in",15,10,7,"estimates_12-19-22"
"AFG",2001,"mmr",862.820003449532,1273.43133927141,1707.62538040209,"estimates_12-19-22"
"AFG",2001,"pm",0.412386595315476,0.608639127825783,0.816163062843851,"estimates_12-19-22"
"AFG",2001,"maternal_deaths",8360.72583342597,12339.5496775399,16546.8899360962,"estimates_12-19-22"
"AFG",2001,"mmr_rate",0.00198448600793392,0.00292889208032423,0.0039275383749248,"estimates_12-19-22"
"AFG",2001,"pm_mean",0.612396261995037,0.612396261995037,0.612396261995037,"estimates_12-19-22"
"AFG",2001,"mmr_mean",1281.29224104101,1281.29224104101,1281.29224104101,"estimates_12-19-22"
"AFG",2001,"births",969000,969000,969000,"estimates_12-19-22"
"AFG",2001,"hiv_related_indirect_mmr",3.66898702405226e-07,3.66898702405226e-07,3.66898702405226e-07,"estimates_12-19-22"
"AFG",2001,"hiv_related_indirect_maternal_deaths",0.355524842630664,0.355524842630664,0.355524842630664,"estimates_12-19-22"
"AFG",2001,"hiv_related_indirect_percentage",0.00425232030943157,0.00288118166319943,0.00214859012179143,"estimates_12-19-22"
"AFG",2001,"lifetime_risk",0.0642911705297373,0.0948869880898611,0.127240020042905,"estimates_12-19-22"
"AFG",2001,"lifetime_risk_1_in",16,11,8,"estimates_12-19-22"
"AFG",2002,"mmr",878.866359556131,1277.30797154562,1689.87333484757,"estimates_12-19-22"
"AFG",2002,"pm",0.418629839780795,0.608419272924422,0.80493626331808,"estimates_12-19-22"
"AFG",2002,"maternal_deaths",8612.89032365008,12517.6181211471,16560.7586815062,"estimates_12-19-22"
"AFG",2002,"mmr_rate",0.0020213926269791,0.00293780833455492,0.00388670867014941,"estimates_12-19-22"
"AFG",2002,"pm_mean",0.610661792007766,0.610661792007766,0.610661792007766,"estimates_12-19-22"
"AFG",2002,"mmr_mean",1282.01588864977,1282.01588864977,1282.01588864977,"estimates_12-19-22"
"AFG",2002,"births",980000,980000,980000,"estimates_12-19-22"
"AFG",2002,"hiv_related_indirect_mmr",4.45370309011077e-07,4.45370309011077e-07,4.45370309011077e-07,"estimates_12-19-22"
"AFG",2002,"hiv_related_indirect_maternal_deaths",0.436462902830856,0.436462902830856,0.436462902830856,"estimates_12-19-22"
"AFG",2002,"hiv_related_indirect_percentage",0.00506755440310641,0.00348678876929072,0.00263552480429695,"estimates_12-19-22"
"AFG",2002,"lifetime_risk",0.0655385508928766,0.0952510157986914,0.126016712727925,"estimates_12-19-22"
"AFG",2002,"lifetime_risk_1_in",15,10,8,"estimates_12-19-22"
"AFG",2003,"mmr",841.73988532207,1196.09068854568,1570.10022363825,"estimates_12-19-22"
"AFG",2003,"pm",0.420909539042883,0.598101609711195,0.785123971082633,"estimates_12-19-22"
"AFG",2003,"maternal_deaths",8947.6949809736,12714.4440192406,16690.1653772746,"estimates_12-19-22"
"AFG",2003,"mmr_rate",0.00193600173624076,0.00275100858365507,0.00361123051436798,"estimates_12-19-22"
"AFG",2003,"pm_mean",0.601378373278904,0.601378373278904,0.601378373278904,"estimates_12-19-22"
"AFG",2003,"mmr_mean",1202.64359916867,1202.64359916867,1202.64359916867,"estimates_12-19-22"
"AFG",2003,"births",1063000,1063000,1063000,"estimates_12-19-22"
"AFG",2003,"hiv_related_indirect_mmr",4.87320337912553e-07,4.87320337912553e-07,4.87320337912553e-07,"estimates_12-19-22"
"AFG",2003,"hiv_related_indirect_maternal_deaths",0.518021519201044,0.518021519201044,0.518021519201044,"estimates_12-19-22"
"AFG",2003,"hiv_related_indirect_percentage",0.00578944097113912,0.00407427582690308,0.00310375306350399,"estimates_12-19-22"
"AFG",2003,"lifetime_risk",0.0630825956755885,0.0896387430518319,0.117668176719493,"estimates_12-19-22"
"AFG",2003,"lifetime_risk_1_in",16,11,8,"estimates_12-19-22"
"AFG",2004,"mmr",806.661822169962,1114.8872326046,1460.36610167491,"estimates_12-19-22"
"AFG",2004,"pm",0.408375106797936,0.564415198748093,0.739314972327923,"estimates_12-19-22"
"AFG",2004,"maternal_deaths",8849.08018920448,12230.3129416724,16020.2161353738,"estimates_12-19-22"
"AFG",2004,"mmr_rate",0.00177465600877392,0.00245275191173011,0.0032128054236848,"estimates_12-19-22"
"AFG",2004,"pm_mean",0.570701759291318,0.570701759291318,0.570701759291318,"estimates_12-19-22"
"AFG",2004,"mmr_mean",1127.30505214982,1127.30505214982,1127.30505214982,"estimates_12-19-22"
"AFG",2004,"births",1097000,1097000,1097000,"estimates_12-19-22"
"AFG",2004,"hiv_related_indirect_mmr",5.12620341348831e-07,5.12620341348831e-07,5.12620341348831e-07,"estimates_12-19-22"
"AFG",2004,"hiv_related_indirect_maternal_deaths",0.562344514459668,0.562344514459668,0.562344514459668,"estimates_12-19-22"
"AFG",2004,"hiv_related_indirect_percentage",0.00635483578446611,0.00459795687274352,0.00351021802519862,"estimates_12-19-22"
"AFG",2004,"lifetime_risk",0.0579683907457422,0.0801181076888072,0.104944935395605,"estimates_12-19-22"
"AFG",2004,"lifetime_risk_1_in",17,12,10,"estimates_12-19-22"
"AFG",2005,"mmr",812.317812961977,1102.80975602833,1422.34028722661,"estimates_12-19-22"
"AFG",2005,"pm",0.413151275659577,0.560897779468312,0.723413539273435,"estimates_12-19-22"
"AFG",2005,"maternal_deaths",8927.37276445213,12119.8792187513,15631.5197566204,"estimates_12-19-22"
"AFG",2005,"mmr_rate",0.00178709918851635,0.00242618146326232,0.00312914863189853,"estimates_12-19-22"
"AFG",2005,"pm_mean",0.565820864800441,0.565820864800441,0.565820864800441,"estimates_12-19-22"
"AFG",2005,"mmr_mean",1112.48928540564,1112.48928540564,1112.48928540564,"estimates_12-19-22"
"AFG",2005,"births",1099000,1099000,1099000,"estimates_12-19-22"
"AFG",2005,"hiv_related_indirect_mmr",5.88195759418515e-07,5.88195759418515e-07,5.88195759418515e-07,"estimates_12-19-22"
"AFG",2005,"hiv_related_indirect_maternal_deaths",0.646427139600948,0.646427139600948,0.646427139600948,"estimates_12-19-22"
"AFG",2005,"hiv_related_indirect_percentage",0.00724095606464371,0.00533361040925908,0.00413540813475393,"estimates_12-19-22"
"AFG",2005,"lifetime_risk",0.0584965414978764,0.0794154155287414,0.102425413192,"estimates_12-19-22"
"AFG",2005,"lifetime_risk_1_in",17,13,10,"estimates_12-19-22"
"AFG",2006,"mmr",782.287163337914,1044.4003272575,1339.07586319029,"estimates_12-19-22"
"AFG",2006,"pm",0.402016047328907,0.536715558007584,0.688148816473384,"estimates_12-19-22"
"AFG",2006,"maternal_deaths",8894.60504715208,11874.8317209178,15225.2925644736,"estimates_12-19-22"
"AFG",2006,"mmr_rate",0.00164280304300962,0.00219324068724075,0.00281205931269962,"estimates_12-19-22"
"AFG",2006,"pm_mean",0.542293473936625,0.542293473936625,0.542293473936625,"estimates_12-19-22"
"AFG",2006,"mmr_mean",1055.2544512619,1055.2544512619,1055.2544512619,"estimates_12-19-22"
"AFG",2006,"births",1137000,1137000,1137000,"estimates_12-19-22"
"AFG",2006,"hiv_related_indirect_mmr",6.19868764431345e-07,6.19868764431345e-07,6.19868764431345e-07,"estimates_12-19-22"
"AFG",2006,"hiv_related_indirect_maternal_deaths",0.704790785158439,0.704790785158439,0.704790785158439,"estimates_12-19-22"
"AFG",2006,"hiv_related_indirect_percentage",0.00792380079185307,0.00593516440251472,0.00462907876596725,"estimates_12-19-22"
"AFG",2006,"lifetime_risk",0.0538962279156456,0.0719546998992883,0.0922565795543664,"estimates_12-19-22"
"AFG",2006,"lifetime_risk_1_in",19,14,11,"estimates_12-19-22"
"AFG",2007,"mmr",780.857751003769,1023.49547063257,1302.34849937091,"estimates_12-19-22"
"AFG",2007,"pm",0.407143946782948,0.533656719027435,0.679052372137063,"estimates_12-19-22"
"AFG",2007,"maternal_deaths",9034.52417911361,11841.8425952188,15068.1721377214,"estimates_12-19-22"
